location_id,sku_id,time_period,actual_demand,forecast_demand,forecasting_error,lower_cf,upper_cf,forecasting_method
DC1,38340M844A0,2014-03-01,,12107,6921.856495739811,0.0,26316.588705810245,Sarima
DC1,38340M844A0,2014-04-01,,31510,6921.856495739811,18032.316292526797,45719.74227548604,Sarima
DC1,38340M844A0,2014-05-01,,24834,6921.856495739811,11356.737110776767,39044.16309373601,Sarima
DC1,38340M844A0,2014-06-01,,21250,6921.856495739811,7772.74890243582,35460.17488539506,Sarima
DC1,38340M844A0,2014-07-01,,19326,6921.856495739811,5848.575564391524,33536.00154735077,Sarima
DC1,38340M844A0,2014-08-01,,18293,6921.856495739811,4815.524443792436,32502.950426751682,Sarima
DC1,38340M844A0,2014-09-01,,17739,6921.856495739811,4260.899454104287,31948.325437063533,Sarima
DC1,38340M844A0,2014-10-01,,17441,6921.856495739811,3963.132119020045,31650.558101979288,Sarima
DC1,38340M844A0,2014-11-01,,17281,6921.856495739811,3803.2666468691696,31490.692629828416,Sarima
DC1,38340M844A0,2014-12-01,,17195,6921.856495739811,3717.4379941769857,31404.86397713623,Sarima
DC1,38340M844A0,2015-01-01,,17149,6921.856495739811,3671.358265240875,31358.78424820012,Sarima
DC1,38340M844A0,2015-02-01,,17124,6921.856495739811,3646.618957885783,31334.04494084503,Sarima
DC1,38340M844A0,2015-03-01,,17111,6921.856495739811,3633.3369064818307,31320.762889441074,Sarima
